[16:29:10] PHOENIX launcher started — v0.1.0
[16:29:10] Python OK: 3.11.9 (main, Apr 19 2026, 02:58:43) [Clang 21.0.0 (clang-2100.0.123.102)]
[16:29:10] OS: Darwin 25.5.0 arm64
[16:29:10] Node.js: v26.5.0
[16:29:24] pip install: SUCCESS
[16:29:30] npm install: SUCCESS
[16:29:30] .env bootstrapped from .env.example
[16:29:30] Backend: PID 54525 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/backend_2026-08-05_16-29.log
[16:29:30] Frontend: PID 54526 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/frontend_2026-08-05_16-29.log
[16:31:31] Process PID 54525 died unexpectedly (code 3)
[16:31:31] Process PID 54526 died unexpectedly (code 1)
[16:31:36] Process PID 54525 died unexpectedly (code 3)
[16:31:36] Process PID 54526 died unexpectedly (code 1)
[16:31:41] Process PID 54525 died unexpectedly (code 3)
[16:31:41] Process PID 54526 died unexpectedly (code 1)
[16:31:46] Process PID 54525 died unexpectedly (code 3)
[16:31:46] Process PID 54526 died unexpectedly (code 1)
[16:31:51] Process PID 54525 died unexpectedly (code 3)
[16:31:51] Process PID 54526 died unexpectedly (code 1)
[16:31:56] Process PID 54525 died unexpectedly (code 3)
[16:31:56] Process PID 54526 died unexpectedly (code 1)
[16:32:01] Process PID 54525 died unexpectedly (code 3)
[16:32:01] Process PID 54526 died unexpectedly (code 1)
[16:32:06] Process PID 54525 died unexpectedly (code 3)
[16:32:06] Process PID 54526 died unexpectedly (code 1)
[16:32:11] Process PID 54525 died unexpectedly (code 3)
[16:32:11] Process PID 54526 died unexpectedly (code 1)
[16:32:16] Process PID 54525 died unexpectedly (code 3)
[16:32:16] Process PID 54526 died unexpectedly (code 1)
[16:32:21] Process PID 54525 died unexpectedly (code 3)
[16:32:21] Process PID 54526 died unexpectedly (code 1)
[16:32:26] Process PID 54525 died unexpectedly (code 3)
[16:32:26] Process PID 54526 died unexpectedly (code 1)
[16:32:31] Process PID 54525 died unexpectedly (code 3)
[16:32:31] Process PID 54526 died unexpectedly (code 1)
[16:32:36] Process PID 54525 died unexpectedly (code 3)
[16:32:36] Process PID 54526 died unexpectedly (code 1)
[16:32:41] Process PID 54525 died unexpectedly (code 3)
[16:32:41] Process PID 54526 died unexpectedly (code 1)
[16:32:46] Process PID 54525 died unexpectedly (code 3)
[16:32:46] Process PID 54526 died unexpectedly (code 1)
[16:32:51] Process PID 54525 died unexpectedly (code 3)
[16:32:51] Process PID 54526 died unexpectedly (code 1)
[16:32:56] Process PID 54525 died unexpectedly (code 3)
[16:32:56] Process PID 54526 died unexpectedly (code 1)
[16:33:01] Process PID 54525 died unexpectedly (code 3)
[16:33:01] Process PID 54526 died unexpectedly (code 1)
[16:33:06] Process PID 54525 died unexpectedly (code 3)
[16:33:06] Process PID 54526 died unexpectedly (code 1)
[16:33:11] Process PID 54525 died unexpectedly (code 3)
[16:33:11] Process PID 54526 died unexpectedly (code 1)
[16:33:16] Process PID 54525 died unexpectedly (code 3)
[16:33:16] Process PID 54526 died unexpectedly (code 1)
[16:33:21] Process PID 54525 died unexpectedly (code 3)
[16:33:21] Process PID 54526 died unexpectedly (code 1)
[16:33:26] Process PID 54525 died unexpectedly (code 3)
[16:33:26] Process PID 54526 died unexpectedly (code 1)
[16:33:31] Process PID 54525 died unexpectedly (code 3)
[16:33:31] Process PID 54526 died unexpectedly (code 1)
[16:33:36] Process PID 54525 died unexpectedly (code 3)
[16:33:36] Process PID 54526 died unexpectedly (code 1)
