[11:32:51] PHOENIX launcher started — v0.1.0
[11:32:51] Python OK: 3.11.9 (main, Apr 19 2026, 02:58:43) [Clang 21.0.0 (clang-2100.0.123.102)]
[11:32:51] OS: Darwin 25.5.0 arm64
[11:32:51] Node.js: v26.5.0
[11:32:52] pip install: SUCCESS
[11:32:53] npm install: SUCCESS
[11:32:53] Backend: PID 63458 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/backend_2026-08-06_11-32.log
[11:32:53] Frontend: PID 63459 → /Users/umeshgupta/PhishScope AI/PhishScope AI2.0/logs/frontend_2026-08-06_11-32.log
[11:32:53] Backend health: OK
[11:32:54] Process PID 63458 died unexpectedly (code 3)
[11:32:59] Process PID 63458 died unexpectedly (code 3)
[11:33:04] Process PID 63458 died unexpectedly (code 3)
[11:33:09] Process PID 63458 died unexpectedly (code 3)
[11:33:14] Process PID 63458 died unexpectedly (code 3)
[11:33:19] Process PID 63458 died unexpectedly (code 3)
[11:33:24] Process PID 63458 died unexpectedly (code 3)
[11:33:29] Process PID 63458 died unexpectedly (code 3)
[11:33:34] Process PID 63458 died unexpectedly (code 3)
[11:33:39] Process PID 63458 died unexpectedly (code 3)
[11:33:44] Process PID 63458 died unexpectedly (code 3)
[11:33:49] Process PID 63458 died unexpectedly (code 3)
[11:33:54] Process PID 63458 died unexpectedly (code 3)
[11:33:59] Process PID 63458 died unexpectedly (code 3)
[11:34:04] Process PID 63458 died unexpectedly (code 3)
[11:34:09] Process PID 63458 died unexpectedly (code 3)
[11:34:14] Process PID 63458 died unexpectedly (code 3)
[11:34:19] Process PID 63458 died unexpectedly (code 3)
[11:34:24] Process PID 63458 died unexpectedly (code 3)
[11:34:29] Process PID 63458 died unexpectedly (code 3)
[11:34:34] Process PID 63458 died unexpectedly (code 3)
[11:34:39] Process PID 63458 died unexpectedly (code 3)
[11:34:44] Process PID 63458 died unexpectedly (code 3)
[11:34:49] Process PID 63458 died unexpectedly (code 3)
[11:34:54] Process PID 63458 died unexpectedly (code 3)
[11:34:59] Process PID 63458 died unexpectedly (code 3)
[11:35:04] Process PID 63458 died unexpectedly (code 3)
